,
Model,In-line reject unit
RJ- 3004,2284
RC-3004,1033
RJ- 1501,895
RC-1501,371
RJ-0801,338
FTC-100 ml,239
FTC-02,231
FTC-06,202
FTC-28 ml,186
BT-204,177
FB-101,175
FB-501,92
SB-031,84
RB-503,72
Others,543
